language,question,reference,final_answer,answer_strategy,source,page,supporting_excerpt
english,How is one credit assigned for theoretical courses?,"For theoretical courses, one lecture per week per semester is equivalent to one credit.","Please specify the course, program, policy, or other item you mean so I can answer reliably.",ambiguous,,,
english,What prerequisite is listed for CSE 101 Introduction to Computer Science & Programming Methodology?,No prerequisite is listed for CSE 101 Introduction to Computer Science & Programming Methodology.,The university documents contain conflicting evidence for this item.,conflicting,curricula_BSc-Curriculum-New.pdf,60,"Course Code: CSE 101 Course Title: Introduction to Computer Science & Programming Methodology Credits: 3.00 Prerequisite: None Introduction to computer science, what is computer, Fundamental parts of a computer, sto rage and memory management (RAM, ROM, Hard disk) system overview of a computer, I/O devices, software and hardware, basic knowledge of computer, Files and folders, Command prompt, Microsoft office, Shortc…"
english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.","The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific, with Edition 13th Edition, published on July 2017, and the address of correspondence provided.",gguf_generation,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence"
english,What numeric mark earns an A+ grade?,A numeric grade of 80% and above earns A+ with grade point 4.00.,80% and above is awarded grade A+.,structured_exact,curricula_BSc-Curriculum-New.pdf,19,Numeric Grade Letter Grade Grade Point 80% and above A+ 4.00 75% to less than 80% A 3.75 70% to less than 75% A- 3.50 65% to less than 70% B+ 3.25 60% to less than 65% B 3.00 55% to less than 60% B- 2.75 50% to less than 55% C+ 2.50 45% to less than 50% C 2.25 40% to less than 45% D 2.00 Less than 40% F 0.00
english,What is the mark distribution for a theoretical course?,"The distribution is Assessment 30%, Mid Semester 20%, and Final Exam 50%.","Mark distribution:
- Final Exam: 50%
- Assessment: 30%",structured_list,curricula_BSc-Curriculum-New.pdf,18,"Grading System The total performance of a student in a given course is based on a scheme of continuous assessments. For theoretical courses this continuous assessment is made through homework, assignments, attendance, quizzes etc., a mid semester and a semester final examina tion of three/two hours duration. The distribution of marks for a given course is as follows: Assessment 30% Mid Semester 20% Final Exam 50%"
english,What is the title of the undergraduate prospectus?,"The title is Prospectus (Undergraduate Program) 2017-18 for the Department of Computer Science & Engineering, UAP.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,,,
english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","The disclaimer states that the information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",gguf_generation,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP."
english,How many courses can a student repeat for grade improvement?,"For grade improvement, a student may repeat a maximum of four courses.",The grade is C.,structured_exact,curricula_BSc-Curriculum-New.pdf,21,"Category – A 1. The Provision for Improvement of grades applies to those only who obtained a grade C or lower in any course. Such candidates may be allowed to improve their grades by surrendering the earlier grade obtained by him/her. 2. For grade improvement purpose, a student will be allowed to repeat a maximum of four courses. 3. For availing s uch provision of grade improvement, a candidate shall apply to the Con…"
english,What edition and date are listed for the prospectus?,"The prospectus is the 13th Edition, July 2017.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,,,
english,Which two bachelor degree programs did UAP initially offer?,UAP initially offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration.,UAP initially offered Bachelor Degree Programs in Computer Science & Technology and Business Administration.,gguf_generation,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…"
bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,,,
bangla,CSE 101 Introduction to Computer Science & Programming Methodology কোর্সের prerequisite কী দেওয়া আছে?,CSE 101 Introduction to Computer Science & Programming Methodology কোর্সের জন্য কোনো prerequisite দেওয়া নেই।,বিশ্ববিদ্যালয়ের নথিতে এই বিষয়ে পরস্পরবিরোধী তথ্য রয়েছে।,conflicting,curricula_BSc-Curriculum-New.pdf,51,CSE 101 Introduction to Computer Science & Programming Methodology 3.00 Nil
