question_id,language,question,reference,final_answer,answer_strategy,generation_used,generation_attempts,retry_used,support_status,target_language,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,generation_rejection_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,generation_seconds,retry_seconds,total_seconds,prompt_tokens,completion_tokens,tokens_per_second,rss_bytes,available_ram_bytes,swap_used_bytes,error,answer_bank_enabled,reranker_enabled
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,False,0,False,ambiguous,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"[""18"", ""2017""]",False,True,0.0,0.0,0.0,,,,0.18241260000013426,0.0003154999999424035,0.0,0.0,0.18416819999993095,0,0,0.0,2020089856,2518839296,1362788352,,False,False
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,1.0,1.0,1.0,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",0.17216849999977057,36.529628799999955,36.51628279999977,0.0,36.807343200000105,370,18,0.4929307864819174,4955291648,245817344,2063998976,,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,1,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,[],False,False,0.0,0.0,0.0,,,,2.637346500000149,28.90779779999957,28.90672769999992,0.0,31.56670720000011,507,41,1.418354938874666,5431287808,380764160,2135859200,,False,False
Q002,banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,1,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,[],False,False,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,1.6163424999999734,15.92998039999975,15.92823559999988,0.0,17.559153600000172,395,13,0.8161607052070536,5248733184,297816064,2111041536,,False,False
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,False,0,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"[""2017"", ""july2017""]",False,True,0.0,0.0,0.0,,,,0.2553800000000592,0.00046760000032008975,0.0,0.0,0.2577776000002814,0,0,0.0,5311266816,126029824,2005884928,,False,False
Q004,bangla,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,CSE Head-এর যোগাযোগের ইমেইল হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,structured_exact,False,0,False,supported,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,,"[""headcse@uap-bd.edu""]",True,True,0.4,0.2857142857142857,0.3333333333333333,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu,0.24341020000019853,0.00018809999983204762,0.0,0.0,0.24776269999983924,0,0,0.0,5315395584,153477120,2004619264,,False,False
Q005,english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,0.7222222222222222,0.9285714285714286,0.8125000000000001,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",0.38687609999988126,31.598503400000027,31.58647269999983,0.0,32.216173100000105,641,26,0.8231371779603659,5011890176,248565760,2147106816,,False,False
Q005,bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,"প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,False,0,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,[],False,False,0.09090909090909091,0.1111111111111111,0.09999999999999999,,,,2.7887009999999464,0.003284700000222074,0.0,0.0,2.803345199999967,0,0,0.0,3337158656,267132928,2092625920,,False,False
Q005,banglish,Prospectus-er information niye disclaimer-e ki bola hoyeche?,"Prospectus-er information Department of CSE, UAP-er discretion-e change hote pare.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,1,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,[],False,False,0.09090909090909091,0.1,0.09523809523809525,,,,0.37450459999990926,25.69984629999999,25.698083199999928,0.0,26.094519899999796,383,37,1.43979610121272,5427982336,277340160,2296700928,,False,False
Q006,banglish,UAP kobe established hoy?,UAP 1996 shale established hoy.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,1,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,UNSUPPORTED_FACTUAL_TOKENS,"[""1996"", ""uap1996""]",False,True,0.0,0.0,0.0,,,,0.31657499999982974,28.81788850000021,28.812510499999917,0.0,29.155359000000317,833,16,0.5553143312520458,5443792896,428621824,2416648192,,False,False
