question_id,language,question,reference,final_answer,final_status,answer_strategy,generation_used,generation_attempts,retry_used,support_status,pre_generation_support_status,evidence_available,target_language,canonical_answer,canonical_successful,canonical_validation_reason,target_language_realization,realization_successful,realization_validation_reason,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,generation_rejection_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,canonical_generation_seconds,language_realization_seconds,generation_seconds,retry_seconds,total_seconds,prompt_tokens,completion_tokens,rss_bytes,available_ram_bytes,swap_used_bytes,error,answer_bank_enabled,reranker_enabled
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",AMBIGUOUS,ambiguous,False,0,False,ambiguous,ambiguous,False,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"['18', '2017']",False,True,0.0,0.0,0.0,,,,0.17855510000026698,0.0009173999997074134,0.0,0.0,0.0,0.0,0.18125479999980598,0,0,2021376000,2993139712,1099960320,,False,False
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,ANSWER_RETURNED,gguf_generation,True,1,False,supported,supported,True,english,The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,True,FACTUAL_TOKENS_SUPPORTED,,True,NOT_REQUIRED,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,1.0,1.0,1.0,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",0.17180660000030912,32.65080660000058,32.63887629999954,0.0,32.63887629999954,0.0,32.90701739999986,370,18,5103423488,366608384,1770872832,,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,"প্রাসঙ্গিক তথ্য বিশ্ববিদ্যালয়ের নথিতে পাওয়া গেছে, কিন্তু এই মুহূর্তে আমি সেটির একটি নির্ভরযোগ্য বাংলা উত্তর তৈরি করতে পারিনি।",GENERATION_REJECTED,generation_rejected,True,2,True,supported,supported,True,bangla,The publication was not specified in the given evidence.,False,WRONG_POLARITY,,False,,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,WRONG_POLARITY,[],False,False,0.0,0.0,0.0,curricula_BSc-Curriculum-New.pdf,64,"4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher.",2.6121548999999504,19.8889736000001,19.887588499999765,0.0,19.887588499999765,5.3972358999999415,22.51798250000047,1015,20,5443620864,253374464,1756696576,,False,False
Q002,banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,"Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.",GENERATION_REJECTED,generation_rejected,True,2,True,supported,supported,True,banglish,The faculty members and students of UAP are engaged to publish their research at IJCIT.,False,MISSING_REQUIRED_ENTITY,,False,,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,MISSING_REQUIRED_ENTITY,[],False,False,0.0625,0.09090909090909091,0.07407407407407407,curricula_BSc-Curriculum-New.pdf,28,…onals who can make positive contribution in the development of this country. Most of the faculty members and students of UAP are engaged to publish their researches at IJCIT.,1.4768099000002621,23.763716399999794,23.762881600000583,0.0,23.762881600000583,9.26950720000059,25.250492200000735,741,38,5389369344,420323328,2018050048,,False,False
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,INSUFFICIENT_EVIDENCE,unsupported,False,0,False,insufficient,insufficient,False,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"['2017', 'july2017']",False,True,0.0,0.0,0.0,,,,0.2595165000002453,0.0005828000003020861,0.0,0.0,0.0,0.0,0.2622750000000451,0,0,4709023744,52772864,1927196672,,False,False
Q003,banglish,Prospectus-e kon edition ar date deya ache?,"Prospectus-ta 13th Edition, July 2017.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,INSUFFICIENT_EVIDENCE,unsupported,False,0,False,insufficient,insufficient,False,banglish,,False,,,False,,True,BANGLISH_MARKERS_PRESENT,True,True,GENERATION_NOT_USED,,"['2017', 'july2017']",False,True,0.0,0.0,0.0,,,,0.21733990000029735,0.00043259999984002206,0.0,0.0,0.0,0.0,0.22005350000017643,0,0,4689448960,56160256,1927065600,,False,False
Q004,english,What email address is listed for correspondence with the CSE Head?,The correspondence email for the CSE Head is headcse@uap-bd.edu.,I couldn't find enough information in the provided university documents to answer this reliably.,INSUFFICIENT_EVIDENCE,unsupported,False,0,False,insufficient,insufficient,False,english,,False,,,False,,True,ENGLISH_BODY_VALID,True,True,GENERATION_NOT_USED,,['headcse@uap-bd.edu'],False,True,0.07692307692307693,0.125,0.09523809523809525,,,,0.2618133999994825,0.0006071999996493105,0.0,0.0,0.0,0.0,0.26535969999986264,0,0,4668731392,109973504,1914998784,,False,False
Q004,bangla,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,CSE Head-এর যোগাযোগের ইমেইল হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,ANSWER_RETURNED,structured_exact,False,0,False,supported,supported,True,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,,['headcse@uap-bd.edu'],True,True,0.4,0.2857142857142857,0.3333333333333333,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu,0.25624279999919963,0.00029040000026725465,0.0,0.0,0.0,0.0,0.26136419999966165,0,0,4649930752,113332224,1866887167,,False,False
Q004,banglish,CSE Head-er sathe correspondence-er jonno kon email deya ache?,CSE Head-er correspondence email holo headcse@uap-bd.edu.,Relevant email address holo headcse@uap-bd.edu.,ANSWER_RETURNED,structured_exact,False,0,False,supported,supported,True,banglish,,False,,,False,,True,BANGLISH_MARKERS_PRESENT,True,True,FACTUAL_TOKENS_SUPPORTED,,['headcse@uap-bd.edu'],True,True,0.6,0.5,0.5454545454545454,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu,0.2510028999995484,0.000257900000178779,0.0,0.0,0.0,0.0,0.25528639999993175,0,0,4629823488,120332288,1827262464,,False,False
Q005,english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",ANSWER_RETURNED,gguf_generation,True,1,False,supported,supported,True,english,"The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",True,FACTUAL_TOKENS_SUPPORTED,,True,NOT_REQUIRED,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,0.7222222222222222,0.9285714285714286,0.8125000000000001,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",0.27791350000006787,28.22809000000052,28.22278439999991,0.0,28.22278439999991,0.0,28.527900400000362,641,26,5355167744,318021632,1694371840,,False,False
Q005,bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,"প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,INSUFFICIENT_EVIDENCE,unsupported,False,0,False,insufficient,insufficient,False,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,[],False,False,0.09090909090909091,0.1111111111111111,0.09999999999999999,,,,1.4594153999996706,0.0027640999996947357,0.0,0.0,0.0,0.0,1.472336599999835,0,0,5499191296,193306624,1665548288,,False,False
Q005,banglish,Prospectus-er information niye disclaimer-e ki bola hoyeche?,"Prospectus-er information Department of CSE, UAP-er discretion-e change hote pare.","Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.",GENERATION_REJECTED,generation_rejected,True,3,True,supported,supported,True,banglish,"The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",True,FACTUAL_TOKENS_SUPPORTED,Prospectus-ta holo UAP-er Computer Science & Engineering Department discretion theke change koreche.,True,CANONICAL_MEANING_PRESERVED,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,UNSUPPORTED_FACTUAL_TOKENS,[],False,False,0.0625,0.1,0.07692307692307693,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",0.3547016000002259,47.19181000000026,18.317201699999714,28.867603200000303,47.18480490000002,10.739834800000608,47.56165189999956,1013,76,5197688832,308662272,1692798976,,False,False
Q006,bangla,UAP কখন প্রতিষ্ঠিত হয়?,UAP 1996 সালে প্রতিষ্ঠিত হয়।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,INSUFFICIENT_EVIDENCE,unsupported,False,0,False,insufficient,insufficient,False,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"['1996', 'uap1996']",False,True,0.0,0.0,0.0,,,,0.31732089999968593,0.004549799999949755,0.0,0.0,0.0,0.0,0.32544510000025184,0,0,5711286272,102350848,1691615232,,False,False
Q006,banglish,UAP kobe established hoy?,UAP 1996 shale established hoy.,University of Asia Pacific (UAP) 1996-e establish hoyechilo.,ANSWER_RETURNED,gguf_generation,True,1,False,supported,supported,True,banglish,The University of Asia Pacific (UAP) was established in 1996.,True,FACTUAL_TOKENS_SUPPORTED,University of Asia Pacific (UAP) 1996-e establish hoyechilo.,True,CANONICAL_MEANING_PRESERVED,True,BANGLISH_MARKERS_PRESENT,True,True,FACTUAL_TOKENS_SUPPORTED,,"['1996', 'uap1996']",False,True,0.125,0.2,0.15384615384615385,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…",0.3212143000000651,27.792714899999737,27.7866211999999,0.0015589000004183617,27.788180100000318,0.0,28.137879599999906,685,18,5661470720,225902592,1872248831,,False,False
Q007,english,Which two bachelor degree programs did UAP initially offer?,UAP initially offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration.,UAP initially offered four-year Bachelor Degree Programs in Computer Science & Technology and Business Administration.,ANSWER_RETURNED,gguf_generation,True,1,False,supported,supported,True,english,UAP initially offered four-year Bachelor Degree Programs in Computer Science & Technology and Business Administration.,True,FACTUAL_TOKENS_SUPPORTED,,True,NOT_REQUIRED,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,0.9285714285714286,0.9285714285714286,0.9285714285714286,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…",0.45481870000003255,24.093002000000524,24.08803960000023,0.0,24.08803960000023,0.0,24.565959900000053,691,18,5578776576,381812736,1944772607,,False,False
