question_id,language,question,reference,final_answer,answer_strategy,generation_used,generation_attempts,retry_used,support_status,target_language,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,generation_seconds,retry_seconds,total_seconds,answer_bank_enabled,reranker_enabled
Q001,english,What is the title of the undergraduate prospectus?,"The title is Prospectus (Undergraduate Program) 2017-18 for the Department of Computer Science & Engineering, UAP.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,"[""18"", ""2017""]",False,True,0.07692307692307693,0.07142857142857142,0.07407407407407408,,,,2.7077423999999155,0.0013353999997889332,0.0,0.0,2.7118734000000586,False,False
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,False,0,False,ambiguous,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,"[""18"", ""2017""]",False,True,0.0,0.0,0.0,,,,0.22689009999976406,0.00035890000026483904,0.0,0.0,0.22892619999993258,False,False
Q001,banglish,Undergraduate prospectus-tar title ki?,Title holo UAP-er Department of Computer Science & Engineering-er Prospectus (Undergraduate Program) 2017-18.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,False,0,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,False,UNSUPPORTED_FACTUAL_TOKENS,"[""18"", ""2017""]",False,True,0.0,0.0,0.0,,,,2.8424012000000403,0.0017598999997971987,0.0,0.0,2.8480360999997174,False,False
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.","The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific, with Edition 13th Edition, published on July 2017, and the address of correspondence provided.",gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.5217391304347826,0.9230769230769231,0.6666666666666667,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",0.1750486999999339,7.636895999999979,7.636202499999854,0.0,7.8187707000001865,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,তা বিবেচনা করা হয় না।,gguf_generation,True,2,True,supported,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.0,0.0,0.0,curricula_BSc-Curriculum-New.pdf,64,"4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher.",0.29916899999989255,8.384166499999992,8.382020399999874,4.6075872000001254,8.686267800000223,False,False
Q002,banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,The evidence suggests that faculty members and students of UAP are engaged in publishing their researches at IJCIT.,gguf_generation,True,1,False,supported,english,False,BANGLISH_BODY_PURE_ENGLISH,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.05555555555555555,0.09090909090909091,0.06896551724137931,curricula_BSc-Curriculum-New.pdf,28,…onals who can make positive contribution in the development of this country. Most of the faculty members and students of UAP are engaged to publish their researches at IJCIT.,0.19224769999982527,2.98189020000018,2.98161970000001,0.0,3.1775103999998464,False,False
Q003,english,What edition and date are listed for the prospectus?,"The prospectus is the 13th Edition, July 2017.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,"[""2017"", ""july2017""]",False,True,0.07692307692307693,0.14285714285714285,0.1,,,,0.17556800000011208,0.0003328000002511544,0.0,0.0,0.17803679999997257,False,False
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,False,0,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,"[""2017"", ""july2017""]",False,True,0.0,0.0,0.0,,,,0.4619019000001572,0.0003980999999839696,0.0,0.0,0.46402530000023035,False,False
Q003,banglish,Prospectus-e kon edition ar date deya ache?,"Prospectus-ta 13th Edition, July 2017.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,False,0,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,True,GENERATION_NOT_USED,"[""2017"", ""july2017""]",False,True,0.0,0.0,0.0,,,,0.2164202999997542,0.0004689000002144894,0.0,0.0,0.2193876999999702,False,False
Q004,english,What email address is listed for correspondence with the CSE Head?,The correspondence email for the CSE Head is headcse@uap-bd.edu.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,GENERATION_NOT_USED,"[""headcse@uap-bd.edu""]",False,True,0.07692307692307693,0.125,0.09523809523809525,,,,0.22334000000000742,0.0007558000002063636,0.0,0.0,0.22655510000004142,False,False
