case_id,language,question,reference_answer,verified_evidence,source,page,SYSTEM_A_answer,SYSTEM_B_answer,SYSTEM_A_language_pass,SYSTEM_B_language_pass,SYSTEM_A_grounding_pass,SYSTEM_B_grounding_pass,SYSTEM_A_latency,SYSTEM_B_latency,A_correctness,B_correctness,A_relevance,B_relevance,A_groundedness,B_groundedness,A_completeness,B_completeness,A_naturalness,B_naturalness,preferred_answer,review_notes
S7B-001,english,What is the title of the undergraduate prospectus?,"The title is Prospectus (Undergraduate Program) 2017-18 for the Department of Computer Science & Engineering, UAP.","[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 51, ""heading"": null, ""entity"": null, ""excerpt"": ""…ast digit, if odd, indicates a theory course and if even, indicates a laboratory course. Core Courses First Year First Semester Course Code Course Title Credits Pre- Requisite"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000051-b0001-c0001"", ""retrieval_score"": 0.031746031746031744}]",,,I couldn't find enough information in the provided university documents to answer this reliably.,I couldn't find enough information in the provided university documents to answer this reliably.,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.","[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 2, ""heading"": null, ""entity"": null, ""excerpt"": ""Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000002-b0001-c0001"", ""retrieval_score"": 0.02761904761904762}]",curricula_BSc-Curriculum-New.pdf,2,"The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific, with Edition 13th Edition, published on July 2017, and the address of correspondence provided.","The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",True,True,True,True,4.816306599999734,7.139791900000091,,,,,,,,,,,,
S7B-003,english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 3, ""heading"": ""Disclaimer"", ""entity"": null, ""excerpt"": ""Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000003-b0001-c0001"", ""retrieval_score"": 0.03278688524590164}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 85, ""heading"": ""Course Code: CSE 407"", ""entity"": null, ""excerpt"": ""Course Code: CSE 407 Course Title: ICTLaw, Policy and Ethics Credits: 2.00 Prerequisite: None Ethics: Introduction to ethical theories and principles, Ethics and critical reasoning in computer science, Privacy, personal information, and trust, Software piracy, Music and video piracy, Misuse of software, Viruses and hacking, Compute r communication and freedom of expression, Security and encryption, Content control an…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000085-b0002-c0001"", ""retrieval_score"": 0.02684684684684685}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 75, ""heading"": ""Course Code: CSE 305"", ""entity"": null, ""excerpt"": ""Course Code: CSE 305 Course Title: System Analysis and Design Credits: 3.00 Prerequisite: CSE 211 Introduction to System analysis, concepts, understanding and modeling organization Systems, System development life cycle(SDLC), structured analysis and struc tured design, object oriented analysis and design, Different types of information, Qualities of information, Analysis оf Information requirements for modern organi…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000075-b0003-c0001"", ""retrieval_score"": 0.026547116736990152}]",curricula_BSc-Curriculum-New.pdf,3,"The disclaimer in the prospectus states that information can be changed by the Department of Computer Science & Engineering, UAP at their discretion. No specific information about the prospectus itself is provided in the given evidence.","The disclaimer states that the information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",True,True,True,True,11.417929000000186,4.776308499999686,,,,,,,,,,,,
S7B-004,english,Which two bachelor degree programs did UAP initially offer?,UAP initially offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration.,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 8, ""heading"": ""1. Introduction"", ""entity"": null, ""excerpt"": ""1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000008-b0001-c0001"", ""retrieval_score"": 0.03278688524590164}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 4, ""heading"": null, ""entity"": null, ""excerpt"": ""University of Asia Pacific (UAP) was established in 1996 under the Private University Act 1992 as a private university with the vision of providing quality education and fulf illing the needs of our motherland, Bangladesh. This university started its journ ey in 1996 and offered four years bachelor degree programs in Computer Science & Engineering and Business Administration only, thus the very step of publishing the…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000004-b0001-c0001"", ""retrieval_score"": 0.031754032258064516}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 9, ""heading"": ""1.3 Schools and Departments"", ""entity"": null, ""excerpt"": ""1.3 Schools and Departments At present, UAP has five schools comprising of relevant departments: School of Engineering Department of Computer Science and Engineering Department of Civil Engineering Department of Electrical and Electronic Engineering School of Business Department of Business Administration School of Environmental Science and Engineering Department of Architecture School of Science Department of Pharma…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000009-b0004-c0001"", ""retrieval_score"": 0.031746031746031744}]",curricula_BSc-Curriculum-New.pdf,8,UAP initially offered Bachelor Degree Programs in Computer Science & Technology and Business Administration.,UAP initially offered Bachelor Degree Programs in Computer Science & Technology and Business Administration.,True,True,True,True,8.191900599999826,4.052548399999978,,,,,,,,,,,,
S7B-005,english,What accreditation did the CSE Department receive from IEB?,The CSE Department received IEB accreditation for the BSc in CSE program starting from August 2014.,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 6, ""heading"": ""IEB Affiliation"", ""entity"": null, ""excerpt"": ""IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000006-b0002-c0001"", ""retrieval_score"": 0.03278688524590164}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 31, ""heading"": ""Activities:"", ""entity"": null, ""excerpt"": ""Activities: The Activities of this club are as follows:  The club arranges at least one intradepartmental robotic competition in an academic year on regular basis.  This club usually selects the participants from the CSE department for any Robotic event outside the university.  The Club arranges training as well as workshops for the interested students to spread robotics. Developments and progress achieved For the…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000031-b0004-c0001"", ""retrieval_score"": 0.026540946394272742}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 32, ""heading"": ""3. Network and Communication Research Group (NCRG) of CSE"", ""entity"": null, ""excerpt"": ""3. Network and Communication Research Group (NCRG) of CSE Department is conducting research on real -life, industry-oriented problems. QUBEE will share necessary relevant information, if any. The outcome of the research can be accessed by both parties."", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000032-b0002-c0001"", ""retrieval_score"": 0.025728708679368183}]",curricula_BSc-Curriculum-New.pdf,6,"The CSE Department of IEB received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This accreditation enables CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB), including membership.",The CSE Department received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,True,True,True,True,7.342357700000321,10.58614999999918,,,,,,,,,,,,
S7B-006,english,Under which act did UAP start its operation?,UAP started its operation under the Private University Act 1992.,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 8, ""heading"": ""1. Introduction"", ""entity"": null, ""excerpt"": ""1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000008-b0001-c0001"", ""retrieval_score"": 0.03252247488101534}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 4, ""heading"": null, ""entity"": null, ""excerpt"": ""University of Asia Pacific (UAP) was established in 1996 under the Private University Act 1992 as a private university with the vision of providing quality education and fulf illing the needs of our motherland, Bangladesh. This university started its journ ey in 1996 and offered four years bachelor degree programs in Computer Science & Engineering and Business Administration only, thus the very step of publishing the…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000004-b0001-c0001"", ""retrieval_score"": 0.031746031746031744}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 13, ""heading"": ""Laboratory"", ""entity"": null, ""excerpt"": ""Laboratory UAP provide laboratory facilities for the students of respective departments. The laboratories are self -sufficient and r ich in instruments and other facilities to carry out sessional / practical classes for different courses. Unlike many other private Universities, UAP does not depend on any other institutions for its laboratory classes. Other than sessional / practical cla sses, the faculties of UAP do…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000013-b0004-c0001"", ""retrieval_score"": 0.031054405392392875}]",curricula_BSc-Curriculum-New.pdf,8,UAP started its operation under the Private University Act 1992.,UAP started its operation under the Private University Act 1992.,True,True,True,True,8.152840099999594,4.1261000999993485,,,,,,,,,,,,
S7B-007,english,How many undergraduate and postgraduate disciplines does UAP offer according to the introduction?,The introduction says UAP offers undergraduate programs in nine disciplines and post-graduate programs in eight disciplines.,"[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 8, ""heading"": ""1. Introduction"", ""entity"": null, ""excerpt"": ""1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000008-b0001-c0001"", ""retrieval_score"": 0.032266458495966696}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 9, ""heading"": ""1.3 Schools and Departments"", ""entity"": null, ""excerpt"": ""1.3 Schools and Departments At present, UAP has five schools comprising of relevant departments: School of Engineering Department of Computer Science and Engineering Department of Civil Engineering Department of Electrical and Electronic Engineering School of Business Department of Business Administration School of Environmental Science and Engineering Department of Architecture School of Science Department of Pharma…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000009-b0004-c0001"", ""retrieval_score"": 0.03200204813108039}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 10, ""heading"": ""1.4 Academic Programs"", ""entity"": null, ""excerpt"": ""1.4 Academic Programs Undergraduate Studies Currently UAP is offering undergraduate programs in the following seven disciplines Architecture Business Administration Civil Engineering Computer Science and Engineering Electrical and Electronic Engineering Law and Human Rights Pharmacy English Basic Science and Humanities Other than Architecture, all the courses are four -year programs. Architecture is a five-year cours…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000010-b0001-c0001"", ""retrieval_score"": 0.030886196246139225}]",curricula_BSc-Curriculum-New.pdf,8,UAP offers undergraduate programs in nine disciplines and postgraduate programs.,I couldn't find enough information in the provided university documents to answer this reliably.,True,True,True,False,7.378778799999964,4.44424059999983,,,,,,,,,,,,
S7B-008,english,Who is named as the Vice-Chancellor in the prospectus?,Prof. Dr. Jamilur Reza Choudhury is named as the Vice-Chancellor.,[],,,I couldn't find enough information in the provided university documents to answer this reliably.,I couldn't find enough information in the provided university documents to answer this reliably.,True,True,True,True,0.0,0.0,,,,,,,,,,,,
S7B-009,english,Where is the UAP Administration located?,"UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh.","[{""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 11, ""heading"": ""1.6 The Campus"", ""entity"": null, ""excerpt"": ""1.6 The Campus UAP Administration 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh PABX:+8802-58157091-4, +8802-58157096 Ext: 107, 114 FAX:+8802-58157097 Email: registrar@uap-bd.edu"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000011-b0003-c0001"", ""retrieval_score"": 0.03225806451612903}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 8, ""heading"": ""1. Introduction"", ""entity"": null, ""excerpt"": ""1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000008-b0001-c0001"", ""retrieval_score"": 0.03149801587301587}, {""source"": ""curricula_BSc-Curriculum-New.pdf"", ""page"": 4, ""heading"": null, ""entity"": null, ""excerpt"": ""University of Asia Pacific (UAP) was established in 1996 under the Private University Act 1992 as a private university with the vision of providing quality education and fulf illing the needs of our motherland, Bangladesh. This university started its journ ey in 1996 and offered four years bachelor degree programs in Computer Science & Engineering and Business Administration only, thus the very step of publishing the…"", ""chunk_id"": ""doc-4d373684ce4879ed066003f5-p000004-b0001-c0001"", ""retrieval_score"": 0.031009615384615385}]",curricula_BSc-Curriculum-New.pdf,11,"The UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.","The UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.",True,True,True,True,5.304444599999442,10.424792299999353,,,,,,,,,,,,
S7B-010,english,How is one credit assigned for theoretical courses?,"For theoretical courses, one lecture per week per semester is equivalent to one credit.",[],,,"Please specify the course, program, policy, or other item you mean so I can answer reliably.","Please specify the course, program, policy, or other item you mean so I can answer reliably.",True,True,True,True,0.0,0.0,,,,,,,,,,,,
