question_id,question,expected_language,course_code,expected_intent,detected_intent,ground_truth_status,detected_language,response_language,language_consistent,reference_answer,generated_answer,language_consistency,reference_token_overlap,answer_mode,generation_mode,retrieved_source_1,retrieved_page_1,retrieved_score_1,retrieved_source_2,retrieved_page_2,retrieved_score_2,retrieved_source_3,retrieved_page_3,retrieved_score_3,latency_seconds,answer_bank_enabled,retrieved_source,retrieved_page,retrieval_score
Q001,What is the course code and title of CSE 101?,english,CSE 101,course_metadata,course_metadata,verified,english,english,True,"The course code is CSE 101, and the course title is Computer Fundamentals and Programming.",The course code for CSE 101 is CSE 101. The course title is Computer Fundamentals and Programming.,True,1.000,gguf_generation,gguf_generation,document2.pdf,1,2.7346,document2.pdf,2,2.1223,document2.pdf,6,2.0868,24.217,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 6,2.7346; 2.1223; 2.0868
Q001,CSE 101 কোর্সের কোর্স কোড এবং শিরোনাম কী?,bangla,CSE 101,course_metadata,course_metadata,verified,bangla,bangla,True,"The course code is CSE 101, and the course title is Computer Fundamentals and Programming.",উত্তর: CSE 101 কোর্সের কোর্স কোড এবং শিরোনাম হল CSE 101.,True,0.250,gguf_generation,gguf_generation,document2.pdf,1,2.4303,document2.pdf,3,2.0090,document2.pdf,2,2.0049,9.444,False,document2.pdf; document2.pdf; document2.pdf,1; 3; 2,2.4303; 2.0090; 2.0049
Q001,CSE 101 course-er course code ebong title ki?,banglish,CSE 101,course_metadata,course_metadata,verified,banglish,banglish,True,"The course code is CSE 101, and the course title is Computer Fundamentals and Programming.","Ei information-ta: CSE 101 course code is 101, and the course title is Computer Fundamentals and Programming.",True,1.000,gguf_generation,gguf_generation,document2.pdf,1,2.6514,document2.pdf,2,2.0956,document2.pdf,6,2.0510,7.336,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 6,2.6514; 2.0956; 2.0510
Q002,What are the main objectives of the Computer Fundamentals and Programming course?,english,CSE 101,course_objective,course_objective,verified,english,english,True,"The main objectives are to introduce computer hardware, software and functionalities; explain number systems, base conversion and Boolean algebra; and introduce basic programming and program-planning tools.","The main objectives of the Computer Fundamentals and Programming course are to introduce computer hardware, software, and functionalities, provide a thorough understanding of the number system, base conversion, and Boolean algebra, and introduce basic programming and different program planning tools.",True,0.900,gguf_generation,gguf_generation,document2.pdf,1,12.8368,document3.pdf,1,10.1343,document1.pdf,1,10.1265,8.686,False,document2.pdf; document3.pdf; document1.pdf,1; 1; 1,12.8368; 10.1343; 10.1265
Q002,Computer Fundamentals and Programming কোর্সের প্রধান উদ্দেশ্যগুলো কী?,bangla,CSE 101,course_objective,course_objective,verified,bangla,bangla,True,"The main objectives are to introduce computer hardware, software and functionalities; explain number systems, base conversion and Boolean algebra; and introduce basic programming and program-planning tools.","উত্তর: The primary objectives of the Computer Fundamentals and Programming course are to introduce computer hardware, software, and functionalities, provide a thorough understanding of the number system, base conversion, and Boolean algebra, and introduce basic programming and different program planning tools.",True,0.850,gguf_generation,gguf_generation,document2.pdf,1,2.6906,document2.pdf,2,2.5686,document2.pdf,6,2.3723,10.426,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 6,2.6906; 2.5686; 2.3723
Q002,Computer Fundamentals and Programming course-er main objectives-gulo ki?,banglish,CSE 101,course_objective,course_objective,verified,banglish,banglish,True,"The main objectives are to introduce computer hardware, software and functionalities; explain number systems, base conversion and Boolean algebra; and introduce basic programming and program-planning tools.","Ei information-ta: The main objectives of the Computer Fundamentals and Programming course are to introduce computer hardware, software, and functionalities, provide a thorough understanding of the number system, base conversion, and Boolean algebra, and introduce basic programming and different program planning tools.",True,0.900,gguf_generation,gguf_generation,document2.pdf,1,12.8211,document1.pdf,1,10.1269,document3.pdf,1,10.1172,8.429,False,document2.pdf; document1.pdf; document3.pdf,1; 1; 1,12.8211; 10.1269; 10.1172
Q003,What is CLO 1 of CSE 101?,english,CSE 101,clo,clo,verified,english,english,True,"CLO 1 is to describe fundamentals of computer systems, software and hardware.","CLO 1 of CSE 101 is ""Describe fundamentals of Computer Systems, Software, and Hardware.""",True,0.889,gguf_generation,gguf_generation,document2.pdf,2,12.1567,document1.pdf,1,10.2064,document3.pdf,1,10.1764,7.236,False,document2.pdf; document1.pdf; document3.pdf,2; 1; 1,12.1567; 10.2064; 10.1764
Q003,CSE 101-এর CLO 1 কী?,bangla,CSE 101,clo,clo,verified,bangla,bangla,True,"CLO 1 is to describe fundamentals of computer systems, software and hardware.","উত্তর: CLO 1: Describe fundamentals of Computer Systems, Software, and Hardware",True,0.889,gguf_generation,gguf_generation,document2.pdf,2,12.1698,document1.pdf,1,10.2232,document3.pdf,1,10.1880,6.441,False,document2.pdf; document1.pdf; document3.pdf,2; 1; 1,12.1698; 10.2232; 10.1880
Q003,CSE 101-er CLO 1 ki?,banglish,CSE 101,clo,clo,verified,banglish,banglish,True,"CLO 1 is to describe fundamentals of computer systems, software and hardware.",Available university documents-e ei information-ta paoa jayni.,True,0.000,gguf_generation,gguf_generation,document2.pdf,2,12.1196,document1.pdf,1,10.1769,document3.pdf,1,10.1568,6.054,False,document2.pdf; document1.pdf; document3.pdf,2; 1; 1,12.1196; 10.1769; 10.1568
Q004,What is CLO 2 of CSE 101?,english,CSE 101,clo,clo,verified,english,english,True,CLO 2 is to understand the fundamentals of Boolean algebra and number systems.,CLO 2 of CSE 101 is Understand the fundamentals of Boolean algebra and number systems.,True,0.889,gguf_generation,gguf_generation,document2.pdf,2,12.1538,document3.pdf,1,10.1551,document1.pdf,2,9.9502,7.201,False,document2.pdf; document3.pdf; document1.pdf,2; 1; 2,12.1538; 10.1551; 9.9502
