experiment,question_id,question,course_code,intent,difficulty,ground_truth_status,expected_language,detected_language,language_detection_correct,response_language_consistent,expected_source,expected_page,retrieved_source_1,retrieved_page_1,hit_at_1,hit_at_3,mrr,source_accuracy,page_accuracy,reference_token_recall,reference_token_precision,reference_token_f1,correctness_proxy,relevance_proxy,groundedness_proxy,completeness_proxy,latency_seconds,answer_mode,answer_bank_enabled
Fast,Q001,What is the course code and title of CSE 101?,CSE 101,course_metadata,easy,verified,english,english,True,True,document2.pdf,1,document2.pdf,1,True,True,1.0,True,True,1.0,1.0,1.0,True,True,True,True,0.007,fast_extractive,False
Fast,Q001,CSE 101 কোর্সের কোর্স কোড এবং শিরোনাম কী?,CSE 101,course_metadata,easy,verified,bangla,bangla,True,True,document2.pdf,1,document2.pdf,1,True,True,1.0,True,True,0.5,0.625,0.5555555555555556,False,True,True,False,0.005,fast_extractive,False
Fast,Q001,CSE 101 course-er course code ebong title ki?,CSE 101,course_metadata,easy,verified,banglish,banglish,True,True,document2.pdf,1,document2.pdf,1,True,True,1.0,True,True,1.0,1.0,1.0,True,True,True,True,0.004,fast_extractive,False
Fast,Q002,What are the main objectives of the Computer Fundamentals and Programming course?,CSE 101,course_objective,medium,verified,english,english,True,True,document2.pdf,1,document2.pdf,1,True,True,1.0,True,True,0.85,0.7391304347826086,0.7906976744186046,True,True,True,True,0.004,fast_extractive,False
Fast,Q002,Computer Fundamentals and Programming কোর্সের প্রধান উদ্দেশ্যগুলো কী?,CSE 101,course_objective,medium,verified,bangla,bangla,True,True,document2.pdf,1,document2.pdf,1,True,True,1.0,True,True,0.6,0.625,0.6122448979591836,False,True,True,False,0.004,fast_extractive,False
Fast,Q002,Computer Fundamentals and Programming course-er main objectives-gulo ki?,CSE 101,course_objective,medium,verified,banglish,banglish,True,True,document2.pdf,1,document2.pdf,1,True,True,1.0,True,True,0.6956521739130435,0.6153846153846154,0.6530612244897959,False,True,True,False,0.005,fast_extractive,False
Fast,Q003,What is CLO 1 of CSE 101?,CSE 101,clo,easy,verified,english,english,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.8888888888888888,1.0,0.9411764705882353,True,True,True,True,0.003,fast_extractive,False
Fast,Q003,CSE 101-এর CLO 1 কী?,CSE 101,clo,easy,verified,bangla,bangla,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,True,True,False,0.003,fast_extractive,False
Fast,Q003,CSE 101-er CLO 1 ki?,CSE 101,clo,easy,verified,banglish,banglish,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.8571428571428571,0.75,0.7999999999999999,True,True,True,True,0.003,fast_extractive,False
Fast,Q004,What is CLO 2 of CSE 101?,CSE 101,clo,easy,verified,english,english,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.8888888888888888,1.0,0.9411764705882353,True,True,True,True,0.003,fast_extractive,False
Fast,Q004,CSE 101-এর CLO 2 কী?,CSE 101,clo,easy,verified,bangla,bangla,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.75,0.6666666666666666,0.7058823529411765,True,True,True,False,0.003,fast_extractive,False
Fast,Q004,CSE 101-er CLO 2 ki?,CSE 101,clo,easy,verified,banglish,banglish,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.8571428571428571,0.75,0.7999999999999999,True,True,True,True,0.003,fast_extractive,False
Fast,Q005,What is CLO 3 of CSE 101?,CSE 101,clo,easy,verified,english,english,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.8333333333333334,0.625,0.7142857142857143,True,True,True,False,0.003,fast_extractive,False
Fast,Q005,CSE 101-এর CLO 3 কী?,CSE 101,clo,easy,verified,bangla,bangla,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.7142857142857143,0.5555555555555556,0.6250000000000001,True,True,True,False,0.003,fast_extractive,False
Fast,Q005,CSE 101-er CLO 3 ki?,CSE 101,clo,easy,verified,banglish,banglish,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.8,0.5,0.6153846153846154,True,True,True,False,0.003,fast_extractive,False
Fast,Q006,What is CLO 4 of CSE 101?,CSE 101,clo,easy,verified,english,english,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.8888888888888888,1.0,0.9411764705882353,True,True,True,True,0.003,fast_extractive,False
Fast,Q006,CSE 101-এর CLO 4 কী?,CSE 101,clo,easy,verified,bangla,bangla,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.6363636363636364,0.7777777777777778,0.7000000000000001,False,True,True,False,0.003,fast_extractive,False
Fast,Q006,CSE 101-er CLO 4 ki?,CSE 101,clo,easy,verified,banglish,banglish,True,True,document2.pdf,2,document2.pdf,2,True,True,1.0,True,True,0.875,0.875,0.875,True,True,True,True,0.003,fast_extractive,False
Fast,Q007,Name four types of computer hardware mentioned in the course.,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,False,0.0,True,False,1.0,0.037383177570093455,0.07207207207207207,True,False,False,True,0.004,fast_extractive,False
Fast,Q007,কোর্সে উল্লেখিত চারটি কম্পিউটার হার্ডওয়্যারের নাম কী?,CSE 101,topics,medium,needs_review,bangla,bangla,True,True,document2.pdf,3;4,,,False,False,0.0,False,False,0.0,0.0,0.0,False,False,False,False,0.004,unsupported,False
Fast,Q007,Course-e mention kora char-ti computer hardware-er naam ki?,CSE 101,topics,medium,needs_review,banglish,banglish,True,True,document2.pdf,3;4,document2.pdf,2,False,True,0.5,True,False,1.0,0.037037037037037035,0.07142857142857142,True,False,True,True,0.005,fast_extractive,False
Fast,Q008,What are the two types of computer software mentioned in the course?,CSE 101,topics,medium,needs_review,english,english,True,True,document2.pdf,3;4,document2.pdf,2,False,True,0.3333333333333333,True,False,1.0,0.02830188679245283,0.055045871559633024,True,False,True,True,0.004,fast_extractive,False
Fast,Q008,কোর্সে উল্লেখিত কম্পিউটার সফটওয়্যারের দুটি ধরন কী?,CSE 101,topics,medium,needs_review,bangla,bangla,True,True,document2.pdf,3;4,,,False,False,0.0,False,False,0.0,0.0,0.0,False,False,False,False,0.004,unsupported,False
