question_id,language,question,reference,final_answer,answer_strategy,generation_used,generation_attempts,retry_used,support_status,target_language,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,generation_rejection_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,generation_seconds,retry_seconds,total_seconds,prompt_tokens,completion_tokens,tokens_per_second,rss_bytes,available_ram_bytes,swap_used_bytes,error,answer_bank_enabled,reranker_enabled
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,1.0,1.0,1.0,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",3.8654695000000174,30.8908471000002,30.87695030000009,0.0,34.85958830000004,370,18,0.5829591272814254,5494435840,161558528,1539743744,,False,False
Q005,english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,0.7222222222222222,0.9285714285714286,0.8125000000000001,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",2.141456699999935,24.32539059999999,24.32340410000006,0.0,26.49231060000011,641,26,1.0689293280293746,5437558784,140304384,1514082304,,False,False
Q007,english,Which two bachelor degree programs did UAP initially offer?,UAP initially offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration.,UAP initially offered four-year Bachelor Degree Programs in Computer Science & Technology and Business Administration.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,0.9285714285714286,0.9285714285714286,0.9285714285714286,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…",1.5190903999998682,22.68596760000014,22.685106099999985,0.0,24.21880280000005,691,18,0.7934721539609644,5513801728,294080512,1500020736,,False,False
Q009,english,What accreditation did the CSE Department receive from IEB?,The CSE Department received IEB accreditation for the BSc in CSE program starting from August 2014.,The CSE Department received a Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,"[""2014"", ""august2014""]",True,True,0.7368421052631579,1.0,0.8484848484848484,curricula_BSc-Curriculum-New.pdf,6,IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership.,1.2326511999999639,25.623808199999985,25.62243710000007,0.0,26.872605799999974,583,36,1.4050185725697382,5691740160,73547776,1489301504,,False,False
Q010,english,Under which act did UAP start its operation?,UAP started its operation under the Private University Act 1992.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,True,1,False,insufficient,english,True,ENGLISH_BODY_VALID,True,False,GENERATION_REJECTED,WRONG_RELATION_VALUE,"[""1992"", ""act1992""]",False,True,0.15384615384615385,0.2,0.17391304347826086,,,,1.515942700000096,22.797738799999934,22.786198699999886,0.0,24.33305630000018,617,23,1.009382929676643,5625180160,359424000,1559310336,,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,1,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,[],False,False,0.0,0.0,0.0,,,,0.8147765000003346,25.996383700000024,25.99600959999998,0.0,26.81990900000028,507,41,1.5771651353752398,5694062592,197992448,1474453504,,False,False
Q009,bangla,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,CSE Department August 2014 থেকে BSc in CSE প্রোগ্রামের জন্য IEB accreditation পেয়েছে।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,2,True,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,"[""2014"", ""august2014""]",False,True,0.0,0.0,0.0,,,,0.5808191999999508,38.475080499999876,38.46624080000038,13.829100800000106,39.06687670000019,694,68,1.7677838693298913,5553192960,251883520,1463582720,,False,False
Q013,bangla,UAP Administration কোথায় অবস্থিত?,"UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-এ অবস্থিত।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,2,True,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,BANGLA_BODY_TOO_ENGLISH,"[""1215"", ""74""]",False,True,0.0,0.0,0.0,,,,3.446759700000257,35.23243400000001,35.223663600000236,10.69090660000029,38.69762360000004,754,50,1.419500270267164,5460041728,286699520,1450708992,,False,False
Q026,bangla,ফাইনাল answer script re-examination-এর ফি কত?,প্রতি script re-examination-এর ফি Taka 200।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,2,True,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,MISSING_REQUIRED_ENTITY,"[""200"", ""taka200""]",False,True,0.0,0.0,0.0,,,,1.223523799999839,71.67288359999975,71.63006769999993,37.256960100000015,73.01640829999997,866,88,1.2285343686754617,4480393216,124850176,2295574528,,False,False
Q028,bangla,কখন একজন শিক্ষার্থী repeat examination দিতে পারে?,তিনটি বা তার কম theory course-এ ফেল করলে এবং তা 10 credit hour-এর বেশি না হলে repeat examination দেওয়া যায়।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,2,True,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,MIXED_SCRIPT_TOKEN,"[""10""]",False,True,0.0,0.0,0.0,,,,2.952859100000296,92.86714830000028,92.8387985000004,36.83837810000023,95.8678074000004,844,188,2.0250154357609356,4517822464,374910976,1888038912,,False,False
