question_id,language,question,before_step7e_answer,after_step7e_answer,canonical_answer,target_language_realization,final_validation,final_status,support_status,generation_rejection_reason
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।","নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",,,"{""language"":true,""grounding"":true,""canonical"":false,""realization"":false}",AMBIGUOUS,ambiguous,
Q002,english,Who published the prospectus?,The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,"প্রাসঙ্গিক তথ্য বিশ্ববিদ্যালয়ের নথিতে পাওয়া গেছে, কিন্তু এই মুহূর্তে আমি সেটির একটি নির্ভরযোগ্য বাংলা উত্তর তৈরি করতে পারিনি।",The publication was not specified in the given evidence.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":false}",GENERATION_REJECTED,supported,WRONG_POLARITY
Q002,banglish,Prospectus-ta ke publish koreche?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,"Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.",The faculty members and students of UAP are engaged to publish their research at IJCIT.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":false}",GENERATION_REJECTED,supported,MISSING_REQUIRED_ENTITY
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,,,"{""language"":true,""grounding"":true,""canonical"":false,""realization"":false}",INSUFFICIENT_EVIDENCE,insufficient,
Q004,bangla,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,,,"{""language"":true,""grounding"":true,""canonical"":false,""realization"":false}",ANSWER_RETURNED,supported,
Q005,english,What does the disclaimer say about the prospectus information?,"The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q005,bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,,,"{""language"":true,""grounding"":true,""canonical"":false,""realization"":false}",INSUFFICIENT_EVIDENCE,insufficient,
Q005,banglish,Prospectus-er information niye disclaimer-e ki bola hoyeche?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,"Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",Prospectus-ta holo UAP-er Computer Science & Engineering Department discretion theke change koreche.,"{""language"":true,""grounding"":false,""canonical"":true,""realization"":true}",GENERATION_REJECTED,supported,UNSUPPORTED_FACTUAL_TOKENS
Q006,banglish,UAP kobe established hoy?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,University of Asia Pacific (UAP) 1996-e establish hoyechilo.,The University of Asia Pacific (UAP) was established in 1996.,University of Asia Pacific (UAP) 1996-e establish hoyechilo.,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q007,english,Which two bachelor degree programs did UAP initially offer?,UAP initially offered four-year Bachelor Degree Programs in Computer Science & Technology and Business Administration.,UAP initially offered four-year Bachelor Degree Programs in Computer Science & Technology and Business Administration.,UAP initially offered four-year Bachelor Degree Programs in Computer Science & Technology and Business Administration.,,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q007,banglish,UAP shurute kon duita bachelor degree program offer korechilo?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,"Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.","Now UAP offers undergraduate programs in nine disciplines. Initially, UAP offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration only.",,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":false}",GENERATION_REJECTED,supported,WRONG_RELATION_VALUE
Q008,english,How many B.Sc.Engg. graduates had received degrees according to the prospectus?,I couldn't find enough information in the provided university documents to answer this reliably.,"Relevant information was found in the university documents, but a reliable answer could not be produced at this time.",Reliable information was not found regarding the number of B.Sc.Engg. graduates who had received degrees according to the prospectus.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":true}",GENERATION_REJECTED,supported,WRONG_POLARITY
Q008,banglish,Prospectus onujayi kotojon B.Sc.Engg. graduate degree peyechilo?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,"Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.",Reliable information was not found.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":false}",GENERATION_REJECTED,supported,SEMANTIC_CONTRACT_UNCERTAIN
Q009,english,What accreditation did the CSE Department receive from IEB?,The CSE Department received a Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,The CSE Department received a Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,The CSE Department received a Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q009,bangla,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,CSE Department BSc in CSE program starting from August 2014-এর জন্য Engineers Institution Bangladesh (IEB) থেকে Certificate of Accreditation পেয়েছে।,The CSE Department has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,CSE Department BSc in CSE program starting from August 2014-এর জন্য Engineers Institution Bangladesh (IEB) থেকে Certificate of Accreditation পেয়েছে।,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q009,banglish,CSE Department IEB theke ki accreditation peyechhe?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,Department of CSE BSc in CSE program starting from August 2014-er jonno Engineers Institution Bangladesh (IEB) theke Certificate of Accreditation peyechhe.,The Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,Department of CSE BSc in CSE program starting from August 2014-er jonno Engineers Institution Bangladesh (IEB) theke Certificate of Accreditation peyechhe.,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q010,english,Under which act did UAP start its operation?,I couldn't find enough information in the provided university documents to answer this reliably.,"Relevant information was found in the university documents, but a reliable answer could not be produced at this time.",The University of Asia Pacific (UAP) started its operation under the Private University Act 1992.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":true}",GENERATION_REJECTED,supported,WRONG_RELATION_VALUE
Q010,banglish,UAP kon act-er odhine operation start korechilo?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,"Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.",The University of Asia Pacific (UAP) started its operation in 1996 under the Private University Act 1992.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":false}",GENERATION_REJECTED,supported,WRONG_RELATION_VALUE
Q011,english,How many undergraduate and postgraduate disciplines does UAP offer according to the introduction?,I couldn't find enough information in the provided university documents to answer this reliably.,"Relevant information was found in the university documents, but a reliable answer could not be produced at this time.",Now UAP offers undergraduate programs in nine disciplines and postgraduate programs in multiple disciplines.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":true}",GENERATION_REJECTED,supported,MISSING_REQUIRED_ENTITY
Q011,banglish,Introduction-e UAP koyta undergraduate ar postgraduate discipline offer kore bola hoyeche?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,UAP holo now ninnor nine discipline-er undergraduate program-er and postgraduate program-er offer koreche.,Now UAP offers undergraduate programs in nine disciplines and postgraduate programs.,UAP holo now ninnor nine discipline-er undergraduate program-er and postgraduate program-er offer koreche.,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q012,banglish,Prospectus-e Vice-Chancellor hisebe kar naam deya ache?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,University-er Vice-Chancellor hisebe Prof. Dr. Jamilur Reza Choudhury-er naam deya ache.,The Vice-Chancellor of the university is named Prof. Dr. Jamilur Reza Choudhury.,University-er Vice-Chancellor hisebe Prof. Dr. Jamilur Reza Choudhury-er naam deya ache.,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q013,english,Where is the UAP Administration located?,"The UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.","The UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.","The UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.",,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q013,bangla,UAP Administration কোথায় অবস্থিত?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,"UAP Administration 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh-এ অবস্থিত।","UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.","UAP Administration 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh-এ অবস্থিত।","{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q013,banglish,UAP Administration kothay located?,Provided university document-e reliable answer deyar moto enough information paoa jayni.,"UAP Administration 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh-e located.","UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh.","UAP Administration 74/A, Green Road, Farmgate, Dhaka - 1215, Bangladesh-e located.","{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q019,english,What is Category 1 in the registration process?,Category 1 students have passed all the courses prescribed for the semester and have no backlog of courses. These students are eligible for registration in all courses prescribed for the next or following semesters.,Category 1 students have passed all the courses prescribed for the semester and have no backlog of courses. These students are eligible for registration in all courses prescribed for the next or following semesters.,Category 1 students have passed all the courses prescribed for the semester and have no backlog of courses. These students are eligible for registration in all courses prescribed for the next or following semesters.,,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q026,english,What is the fee for re-examination of a final answer script?,The fee for re-examination of a final answer script is Taka 200/- (Tk. Two Hundred) per script.,The fee for re-examination of a final answer script is Taka 200/- (Tk. Two Hundred) per script.,The fee for re-examination of a final answer script is Taka 200/- (Tk. Two Hundred) per script.,,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q026,bangla,ফাইনাল answer script re-examination-এর ফি কত?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,re-examination or re-scrutiny of answer scripts-এর ফি হলো Taka 200/- (Tk. Two Hundred) only per script।,The fee for re-examination or re-scrutiny of answer scripts is Taka 200/- (Tk. Two Hundred) only per script.,re-examination or re-scrutiny of answer scripts-এর ফি হলো Taka 200/- (Tk. Two Hundred) only per script।,"{""language"":true,""grounding"":true,""canonical"":true,""realization"":true}",ANSWER_RETURNED,supported,
Q028,bangla,কখন একজন শিক্ষার্থী repeat examination দিতে পারে?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,"প্রাসঙ্গিক তথ্য বিশ্ববিদ্যালয়ের নথিতে পাওয়া গেছে, কিন্তু এই মুহূর্তে আমি সেটির একটি নির্ভরযোগ্য বাংলা উত্তর তৈরি করতে পারিনি।",A student would be allowed to appear at the Repeat Examination in case they fail in three theory courses or less but not exceeding 10 credit hours. Repeat examinations are not held for sessional courses.,একজন শিক্ষার্থী ফেইল হলে তিনটি থিওরি কোর্স বা 10 ক্রেডিট হ ours কম হলে রিটেন এক্সামিনেশনে ভাগ নেওয়া পারবে। রিটেন এক্সামিনেশন সেশনাল কোর্সে পরিচালিত হয় না।,"{""language"":true,""grounding"":false,""canonical"":true,""realization"":false}",GENERATION_REJECTED,supported,MISSING_REQUIRED_ENTITY
Q029,bangla,Repeat examination-এর প্রতি কোর্সের ফি কত?,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,"প্রাসঙ্গিক তথ্য বিশ্ববিদ্যালয়ের নথিতে পাওয়া গেছে, কিন্তু এই মুহূর্তে আমি সেটির একটি নির্ভরযোগ্য বাংলা উত্তর তৈরি করতে পারিনি।",Reliable information was not found regarding the fee for repeat examinations.,,"{""language"":true,""grounding"":false,""canonical"":false,""realization"":false}",GENERATION_REJECTED,supported,WRONG_POLARITY
