question_id,language,question,reference,final_answer,answer_strategy,generation_used,generation_attempts,retry_used,support_status,target_language,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,generation_rejection_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,generation_seconds,retry_seconds,total_seconds,prompt_tokens,completion_tokens,tokens_per_second,rss_bytes,available_ram_bytes,swap_used_bytes,error,answer_bank_enabled,reranker_enabled
Q001,english,What is the title of the undergraduate prospectus?,"The title is Prospectus (Undergraduate Program) 2017-18 for the Department of Computer Science & Engineering, UAP.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,"[""18"", ""2017""]",False,True,0.07692307692307693,0.07142857142857142,0.07407407407407408,,,,4.104758299999958,0.0016325999999935448,0.0,0.0,4.109913299999789,0,0,0.0,2019295232,2523713536,1362788352,,False,False
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,False,0,False,ambiguous,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"[""18"", ""2017""]",False,True,0.0,0.0,0.0,,,,0.18241260000013426,0.0003154999999424035,0.0,0.0,0.18416819999993095,0,0,0.0,2020089856,2518839296,1362788352,,False,False
Q001,banglish,Undergraduate prospectus-tar title ki?,Title holo UAP-er Department of Computer Science & Engineering-er Prospectus (Undergraduate Program) 2017-18.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,False,0,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,False,MODEL_ABSTAINED_DESPITE_VERIFIED_EVIDENCE,,"[""18"", ""2017""]",False,True,0.0,0.0,0.0,,,,0.17059470000003785,0.00015519999988100608,0.0,0.0,0.1729722000000038,0,0,0.0,2019991552,2521264128,1362788352,,False,False
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,1.0,1.0,1.0,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",0.17216849999977057,36.529628799999955,36.51628279999977,0.0,36.807343200000105,370,18,0.4929307864819174,4955291648,245817344,2063998976,,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,1,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,[],False,False,0.0,0.0,0.0,,,,2.637346500000149,28.90779779999957,28.90672769999992,0.0,31.56670720000011,507,41,1.418354938874666,5431287808,380764160,2135859200,,False,False
Q002,banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,True,1,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,[],False,False,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,1.6163424999999734,15.92998039999975,15.92823559999988,0.0,17.559153600000172,395,13,0.8161607052070536,5248733184,297816064,2111041536,,False,False
Q003,english,What edition and date are listed for the prospectus?,"The prospectus is the 13th Edition, July 2017.",I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,"[""2017"", ""july2017""]",False,True,0.07692307692307693,0.14285714285714285,0.1,,,,3.207022899999629,0.0009166999998342362,0.0,0.0,3.21307139999999,0,0,0.0,5312618496,145715200,2006147072,,False,False
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,False,0,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"[""2017"", ""july2017""]",False,True,0.0,0.0,0.0,,,,0.2553800000000592,0.00046760000032008975,0.0,0.0,0.2577776000002814,0,0,0.0,5311266816,126029824,2005884928,,False,False
Q003,banglish,Prospectus-e kon edition ar date deya ache?,"Prospectus-ta 13th Edition, July 2017.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,False,0,False,insufficient,banglish,True,BANGLISH_MARKERS_PRESENT,True,True,GENERATION_NOT_USED,,"[""2017"", ""july2017""]",False,True,0.0,0.0,0.0,,,,0.21453890000020692,0.00034740000000965665,0.0,0.0,0.2167248999999174,0,0,0.0,5313236992,122163200,2005753856,,False,False
Q004,english,What email address is listed for correspondence with the CSE Head?,The correspondence email for the CSE Head is headcse@uap-bd.edu.,I couldn't find enough information in the provided university documents to answer this reliably.,unsupported,False,0,False,insufficient,english,True,ENGLISH_BODY_VALID,True,True,GENERATION_NOT_USED,,"[""headcse@uap-bd.edu""]",False,True,0.07692307692307693,0.125,0.09523809523809525,,,,0.2407760999999482,0.0004608999997799401,0.0,0.0,0.24577810000027966,0,0,0.0,5314506752,131887104,2005622783,,False,False
