question_id,question,expected_language,course_code,expected_intent,detected_intent,ground_truth_status,detected_language,response_language,language_consistent,reference_answer,generated_answer,language_consistency,reference_token_overlap,answer_mode,generation_mode,retrieved_source_1,retrieved_page_1,retrieved_score_1,retrieved_source_2,retrieved_page_2,retrieved_score_2,retrieved_source_3,retrieved_page_3,retrieved_score_3,latency_seconds,answer_bank_enabled,retrieved_source,retrieved_page,retrieval_score
Q001,What is the course code and title of CSE 101?,english,CSE 101,course_metadata,course_metadata,verified,english,english,True,"The course code is CSE 101, and the course title is Computer Fundamentals and Programming.",Course code: CSE 101. Course title: Computer Fundamentals and Programming.,True,1.000,fast_extractive,fast_extractive,document2.pdf,1,34.0000,document2.pdf,2,21.0000,document2.pdf,6,21.0000,0.007,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 6,34.0000; 21.0000; 21.0000
Q001,CSE 101 কোর্সের কোর্স কোড এবং শিরোনাম কী?,bangla,CSE 101,course_metadata,course_metadata,verified,bangla,bangla,True,"The course code is CSE 101, and the course title is Computer Fundamentals and Programming.",উত্তর: Course code: CSE 101. Course title: Computer Fundamentals and Programming.,True,1.000,fast_extractive,fast_extractive,document2.pdf,1,30.0000,document2.pdf,2,20.0000,document2.pdf,3,20.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,30.0000; 20.0000; 20.0000
Q001,CSE 101 course-er course code ebong title ki?,banglish,CSE 101,course_metadata,course_metadata,verified,banglish,banglish,True,"The course code is CSE 101, and the course title is Computer Fundamentals and Programming.",Course-er code holo CSE 101. Course title: Computer Fundamentals and Programming.,True,1.000,fast_extractive,fast_extractive,document2.pdf,1,35.0000,document2.pdf,2,23.0000,document2.pdf,6,23.0000,0.004,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 6,35.0000; 23.0000; 23.0000
Q002,What are the main objectives of the Computer Fundamentals and Programming course?,english,CSE 101,course_objective,course_objective,verified,english,english,True,"The main objectives are to introduce computer hardware, software and functionalities; explain number systems, base conversion and Boolean algebra; and introduce basic programming and program-planning tools.","The objectives of this course are to: 1. Introduce computer hardware, software, and functionalities. 2. Provide a thorough understanding of the number system, base conversion, and Boolean algebra. 3. Introduce basic programming and different program planning tools.",True,0.850,fast_extractive,fast_extractive,document2.pdf,1,50.0000,document2.pdf,2,27.0000,document2.pdf,3,24.0000,0.004,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,50.0000; 27.0000; 24.0000
Q002,Computer Fundamentals and Programming কোর্সের প্রধান উদ্দেশ্যগুলো কী?,bangla,CSE 101,course_objective,course_objective,verified,bangla,bangla,True,"The main objectives are to introduce computer hardware, software and functionalities; explain number systems, base conversion and Boolean algebra; and introduce basic programming and program-planning tools.","উত্তর: The objectives of this course are to: 1. Introduce computer hardware, software, and functionalities. 2. Provide a thorough understanding of the number system, base conversion, and Boolean algebra. 3. Introduce basic programming and different program planning tools.",True,0.850,fast_extractive,fast_extractive,document2.pdf,1,48.0000,document2.pdf,2,26.0000,document2.pdf,3,24.0000,0.004,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,48.0000; 26.0000; 24.0000
Q002,Computer Fundamentals and Programming course-er main objectives-gulo ki?,banglish,CSE 101,course_objective,course_objective,verified,banglish,banglish,True,"The main objectives are to introduce computer hardware, software and functionalities; explain number systems, base conversion and Boolean algebra; and introduce basic programming and program-planning tools.","Ei information-ta: The objectives of this course are to: 1. Introduce computer hardware, software, and functionalities. 2. Provide a thorough understanding of the number system, base conversion, and Boolean algebra. 3. Introduce basic programming and different program planning tools.",True,0.850,fast_extractive,fast_extractive,document2.pdf,1,51.0000,document2.pdf,2,29.0000,document2.pdf,3,26.0000,0.005,False,document2.pdf; document2.pdf; document2.pdf,1; 2; 3,51.0000; 29.0000; 26.0000
Q003,What is CLO 1 of CSE 101?,english,CSE 101,clo,clo,verified,english,english,True,"CLO 1 is to describe fundamentals of computer systems, software and hardware.","CLO 1: Describe fundamentals of Computer Systems, Software, and Hardware.",True,0.889,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,4,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 4,40.0000; 40.0000; 39.0000
Q003,CSE 101-এর CLO 1 কী?,bangla,CSE 101,clo,clo,verified,bangla,bangla,True,"CLO 1 is to describe fundamentals of computer systems, software and hardware.","উত্তর: CLO 1: Describe fundamentals of Computer Systems, Software, and Hardware.",True,0.889,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,4,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 4,40.0000; 40.0000; 39.0000
Q003,CSE 101-er CLO 1 ki?,banglish,CSE 101,clo,clo,verified,banglish,banglish,True,"CLO 1 is to describe fundamentals of computer systems, software and hardware.","CLO 1 holo Describe fundamentals of Computer Systems, Software, and Hardware.",True,0.889,fast_extractive,fast_extractive,document2.pdf,2,42.0000,document2.pdf,3,42.0000,document2.pdf,4,41.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 4,42.0000; 42.0000; 41.0000
Q004,What is CLO 2 of CSE 101?,english,CSE 101,clo,clo,verified,english,english,True,CLO 2 is to understand the fundamentals of Boolean algebra and number systems.,CLO 2: Understand the fundamentals of Boolean algebra and number systems.,True,0.889,fast_extractive,fast_extractive,document2.pdf,2,40.0000,document2.pdf,3,40.0000,document2.pdf,5,39.0000,0.003,False,document2.pdf; document2.pdf; document2.pdf,2; 3; 5,40.0000; 40.0000; 39.0000
