question_id,question,expected_language,intent,course_code,difficulty,expected_source,expected_page,ground_truth_status,hit_at_1,hit_at_3,mrr,source_accuracy,page_accuracy,source_rank,page_rank,ambiguous_pages,failure_class,experiment,latency_seconds,retrieved_source_1,retrieved_page_1,retrieved_score_1,rerank_debug_1,retrieved_source_2,retrieved_page_2,retrieved_score_2,rerank_debug_2,retrieved_source_3,retrieved_page_3,retrieved_score_3,rerank_debug_3
Q001,What is the course code and title of CSE 101?,english,course_metadata,CSE 101,easy,document2.pdf,1,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,1.410,document2.pdf,1,3.8146,"{'semantic_score': 0.6345852613449097, 'course_boost': 1.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 3.8145852613449094}",document3.pdf,1,1.8322,"{'semantic_score': 0.6521807909011841, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.8321807909011842}",document1.pdf,1,1.8043,"{'semantic_score': 0.6242536306381226, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.8042536306381227}"
Q001,CSE 101 কোর্সের কোর্স কোড এবং শিরোনাম কী?,bangla,course_metadata,CSE 101,easy,document2.pdf,1,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.185,document2.pdf,1,3.5703,"{'semantic_score': 0.6303091049194336, 'course_boost': 1.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.24, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 3.5703091049194335}",document3.pdf,1,1.5872,"{'semantic_score': 0.6472151279449463, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.24, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.5872151279449462}",document1.pdf,1,1.5611,"{'semantic_score': 0.6210530996322632, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.24, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.5610530996322631}"
Q001,CSE 101 course-er course code ebong title ki?,banglish,course_metadata,CSE 101,easy,document2.pdf,1,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.178,document2.pdf,1,3.7314,"{'semantic_score': 0.5513782501220703, 'course_boost': 1.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 3.73137825012207}",document3.pdf,1,1.7529,"{'semantic_score': 0.5729091167449951, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.7529091167449953}",document1.pdf,1,1.7067,"{'semantic_score': 0.5267367362976074, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.7067367362976076}"
Q002,What are the main objectives of the Computer Fundamentals and Programming course?,english,course_objective,CSE 101,medium,document2.pdf,1,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.186,document2.pdf,1,3.9168,"{'semantic_score': 0.7368402481079102, 'course_boost': 1.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 3.91684024810791}",document2.pdf,2,1.7827,"{'semantic_score': 0.6226940155029297, 'course_boost': 0.8, 'intent_boost': 0.0, 'field_boost': 0.0, 'lexical_boost': 0.36, 'section_boost': 0.0, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 1.7826940155029298}",document3.pdf,1,1.5243,"{'semantic_score': 0.5843491554260254, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.24, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.5243491554260253}"
Q002,Computer Fundamentals and Programming কোর্সের প্রধান উদ্দেশ্যগুলো কী?,bangla,course_objective,CSE 101,medium,document2.pdf,1,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.239,document2.pdf,1,3.8006,"{'semantic_score': 0.7405539155006409, 'course_boost': 1.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.36, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 3.8005539155006405}",document2.pdf,2,1.7786,"{'semantic_score': 0.6186012625694275, 'course_boost': 0.8, 'intent_boost': 0.0, 'field_boost': 0.0, 'lexical_boost': 0.36, 'section_boost': 0.0, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 1.7786012625694276}",document3.pdf,1,1.4103,"{'semantic_score': 0.5902761220932007, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.12, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.4102761220932005}"
Q002,Computer Fundamentals and Programming course-er main objectives-gulo ki?,banglish,course_objective,CSE 101,medium,document2.pdf,1,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.237,document2.pdf,1,3.9011,"{'semantic_score': 0.7211203575134277, 'course_boost': 1.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.48, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 3.9011203575134275}",document2.pdf,2,1.7822,"{'semantic_score': 0.6222491264343262, 'course_boost': 0.8, 'intent_boost': 0.0, 'field_boost': 0.0, 'lexical_boost': 0.36, 'section_boost': 0.0, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 1.7822491264343263}",document1.pdf,1,1.5169,"{'semantic_score': 0.5769330263137817, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 0.0, 'lexical_boost': 0.24, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 1.5169330263137817}"
Q003,What is CLO 1 of CSE 101?,english,clo,CSE 101,easy,document2.pdf,2,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.224,document2.pdf,2,6.3267,"{'semantic_score': 0.5066831707954407, 'course_boost': 0.8, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 6.326683170795442}",document1.pdf,3,4.1147,"{'semantic_score': 0.5447046756744385, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 4.114704675674439}",document2.pdf,3,5.9079,"{'semantic_score': 0.5379421710968018, 'course_boost': 0.8, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 5.907942171096803}"
Q003,CSE 101-এর CLO 1 কী?,bangla,clo,CSE 101,easy,document2.pdf,2,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.224,document2.pdf,2,6.3398,"{'semantic_score': 0.5197912454605103, 'course_boost': 0.8, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 6.339791245460511}",document1.pdf,3,4.1330,"{'semantic_score': 0.5630414485931396, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 4.13304144859314}",document3.pdf,2,4.1234,"{'semantic_score': 0.5534263253211975, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 4.123426325321198}"
Q003,CSE 101-er CLO 1 ki?,banglish,clo,CSE 101,easy,document2.pdf,2,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.233,document2.pdf,2,6.2896,"{'semantic_score': 0.4695618748664856, 'course_boost': 0.8, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 6.289561874866487}",document1.pdf,3,4.0764,"{'semantic_score': 0.5063905715942383, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 4.076390571594239}",document2.pdf,3,5.8746,"{'semantic_score': 0.5046104788780212, 'course_boost': 0.8, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 5.874610478878022}"
Q004,What is CLO 2 of CSE 101?,english,clo,CSE 101,easy,document2.pdf,2,verified,True,True,1.0,True,True,1,1,False,A_SOURCE_AND_PAGE_RANK1,Optimized retrieval,0.222,document2.pdf,2,6.3238,"{'semantic_score': 0.5037931203842163, 'course_boost': 0.8, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.9, 'topic_plan_boost': 0.0, 'penalty': 0.0, 'metadata_penalty': 0.0, 'final_score': 6.3237931203842175}",document1.pdf,2,4.1202,"{'semantic_score': 0.5502328276634216, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 4.120232827663422}",document3.pdf,2,4.0898,"{'semantic_score': 0.5198202133178711, 'course_boost': 0.0, 'intent_boost': 0.8, 'field_boost': 3.2, 'lexical_boost': 0.12, 'section_boost': 0.45, 'topic_plan_boost': 0.0, 'penalty': -1.0, 'metadata_penalty': 0.0, 'final_score': 4.089820213317871}"
