question_id,language,question,reference,final_answer,answer_strategy,generation_used,generation_attempts,retry_used,support_status,target_language,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,generation_seconds,retry_seconds,total_seconds,prompt_tokens,completion_tokens,tokens_per_second,rss_bytes,available_ram_bytes,swap_used_bytes,error,answer_bank_enabled,reranker_enabled
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering at the University of Asia Pacific.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.9285714285714286,1.0,0.962962962962963,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",4.544520700000248,38.45693859999983,38.44765210000014,0.0,43.09808339999972,260,20,0.5201878114164461,4520218624,491454464,1840185344,,False,False
Q005,english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.7222222222222222,0.9285714285714286,0.8125000000000001,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",3.3400151000000733,22.153751300000295,22.1524715999999,0.0,25.51824710000028,509,26,1.1736839333088285,5214310400,191807488,1800536064,,False,False
Q007,english,Which two bachelor degree programs did UAP initially offer?,UAP initially offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration.,UAP initially offered Bachelor Degree Programs in Computer Science & Technology (or Computer Science & Engineering) and Business Administration.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.8666666666666667,0.9285714285714286,0.896551724137931,curricula_BSc-Curriculum-New.pdf,4,"University of Asia Pacific (UAP) was established in 1996 under the Private University Act 1992 as a private university with the vision of providing quality education and fulf illing the needs of our motherland, Bangladesh. This university started its journ ey in 1996 and offered four years bachelor degree programs in Computer Science & Engineering and Business Administration only, thus the very step of publishing the…",2.2674192999998013,23.292526199999884,23.287076099999922,0.0,25.595954899999924,535,23,0.9876722994863265,5495558144,240885760,2085441535,,False,False
Q009,english,What accreditation did the CSE Department receive from IEB?,The CSE Department received IEB accreditation for the BSc in CSE program starting from August 2014.,The CSE Department received a Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,"[""2014"", ""august2014""]",True,True,0.7368421052631579,1.0,0.8484848484848484,curricula_BSc-Curriculum-New.pdf,6,IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership.,0.9514938000002076,24.01971160000039,24.01864569999998,0.0,24.98741099999961,509,36,1.4988355484172877,5627596800,658132992,2192379904,,False,False
Q010,english,Under which act did UAP start its operation?,UAP started its operation under the Private University Act 1992.,UAP started its operation under the Private University Act 1992.,gguf_generation,True,1,False,supported,english,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,"[""1992"", ""act1992""]",True,True,1.0,1.0,1.0,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…",0.3399299000002429,18.39277579999998,18.382752800000162,0.0,18.747459700000036,544,16,0.8703810671924969,5562880000,458297344,2060177407,,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,প্রসপেক্টাসটি প্রকাশক তথ্য দেওয়া হয়নি।,gguf_generation,True,1,False,supported,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,[],False,False,0.2,0.08333333333333333,0.11764705882352941,curricula_BSc-Curriculum-New.pdf,64,"4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher.",1.0015644999998585,23.859099499999957,23.8581393999998,0.0,24.870338100000026,394,42,1.7604055075644478,5228310528,407744512,1939140608,,False,False
Q009,bangla,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,CSE Department August 2014 থেকে BSc in CSE প্রোগ্রামের জন্য IEB accreditation পেয়েছে।,CSE অধ্যাদেশ ইngineers Institution Bangladesh (IEB) থেকে BSc in CSE প্রোগ্রামের জন্য সertificate of Accreditation পেয়েছে।,gguf_generation,True,1,False,supported,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,"[""2014"", ""august2014""]",False,True,0.6,0.75,0.6666666666666665,curricula_BSc-Curriculum-New.pdf,6,IEB Affiliation Department of CSE has received the Certificate of Accreditation from the Engineers Institution Bangladesh (IEB) for the BSc in CSE program starting from August 2014. This will enable the CSE students to enjoy the privileges offered by Engineers Institution Bangladesh (IEB) including membership.,3.2000033000003896,35.445726899999954,35.43848179999986,0.0,38.69985820000011,519,66,1.8623822649197195,5123788800,304926720,1833086976,,False,False
Q013,bangla,UAP Administration কোথায় অবস্থিত?,"UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-এ অবস্থিত।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,2,True,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,"[""1215"", ""74""]",False,True,0.0,0.0,0.0,,,,2.231283000000076,39.193535299999894,39.1727635000002,13.373373900000388,41.450698199999806,680,66,1.684844113691383,5084483584,525074432,1930575872,,False,False
Q026,bangla,ফাইনাল answer script re-examination-এর ফি কত?,প্রতি script re-examination-এর ফি Taka 200।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,True,1,False,insufficient,bangla,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,"[""200"", ""taka200""]",False,True,0.0,0.0,0.0,,,,2.277907800000321,33.075715299999956,33.071803400000135,0.0,35.37892590000001,569,54,1.6328108675198456,5178699776,413536256,2022440960,,False,False
Q028,bangla,কখন একজন শিক্ষার্থী repeat examination দিতে পারে?,তিনটি বা তার কম theory course-এ ফেল করলে এবং তা 10 credit hour-এর বেশি না হলে repeat examination দেওয়া যায়।,"একজন শিক্ষার্থী রিটেন্ড পরীক্ষায় দিতে পারে, যদি তিনটি বিষয়ে বা 10 ক্রেডিট হাইর্স থেকে কম অথবা সমান অনুষ্ঠিত সেমিস্ট্রি ফাইনালে অনুষ্ঠিত পরীক্ষায় অনুধাবিত হন।",gguf_generation,True,1,False,supported,bangla,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,"[""10""]",True,True,0.18181818181818182,0.19047619047619047,0.18604651162790697,curricula_BSc-Curriculum-New.pdf,20,Rules for Repeat Examination A student wo uld be allowed to appear at the Repeat Examination in case s/he fails in three theory courses or less but not exceeding 10 credit hours. The results of Repeat Examinations would be published within three weeks from the date of publication of the results of the Semester Final,1.7870358000000124,69.55767509999987,69.55420559999993,0.0,71.37166750000006,581,169,2.429759617583788,4987318272,196239360,1774411776,,False,False
