question_id,course_code,intent,difficulty,english_question,bangla_question,banglish_question,ground_truth_answer_en,ground_truth_answer_bn,ground_truth_answer_banglish,expected_source,expected_page,ground_truth_status,notes
Q001,GENERAL,prospectus_metadata,medium,What is the title of the undergraduate prospectus?,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,Undergraduate prospectus-tar title ki?,"The title is Prospectus (Undergraduate Program) 2017-18 for the Department of Computer Science & Engineering, UAP.",শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,Title holo UAP-er Department of Computer Science & Engineering-er Prospectus (Undergraduate Program) 2017-18.,curricula_BSc-Curriculum-New.pdf,1,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q002,GENERAL,publisher,medium,Who published the prospectus?,প্রসপেক্টাসটি কে প্রকাশ করেছে?,Prospectus-ta ke publish koreche?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,curricula_BSc-Curriculum-New.pdf,2,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q003,GENERAL,edition,medium,What edition and date are listed for the prospectus?,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,Prospectus-e kon edition ar date deya ache?,"The prospectus is the 13th Edition, July 2017.","প্রসপেক্টাসটি 13th Edition, July 2017।","Prospectus-ta 13th Edition, July 2017.",curricula_BSc-Curriculum-New.pdf,2,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q004,GENERAL,general,medium,What email address is listed for correspondence with the CSE Head?,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,CSE Head-er sathe correspondence-er jonno kon email deya ache?,The correspondence email for the CSE Head is headcse@uap-bd.edu.,CSE Head-এর যোগাযোগের ইমেইল হলো headcse@uap-bd.edu।,CSE Head-er correspondence email holo headcse@uap-bd.edu.,curricula_BSc-Curriculum-New.pdf,2,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q005,GENERAL,general,medium,What does the disclaimer say about the prospectus information?,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,Prospectus-er information niye disclaimer-e ki bola hoyeche?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।","Prospectus-er information Department of CSE, UAP-er discretion-e change hote pare.",curricula_BSc-Curriculum-New.pdf,3,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q006,GENERAL,general,medium,When was UAP established?,UAP কখন প্রতিষ্ঠিত হয়?,UAP kobe established hoy?,UAP was established in 1996.,UAP 1996 সালে প্রতিষ্ঠিত হয়।,UAP 1996 shale established hoy.,curricula_BSc-Curriculum-New.pdf,4,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q007,GENERAL,general,medium,Which two bachelor degree programs did UAP initially offer?,UAP শুরুতে কোন দুইটি ব্যাচেলর ডিগ্রি প্রোগ্রাম অফার করেছিল?,UAP shurute kon duita bachelor degree program offer korechilo?,UAP initially offered four-year bachelor degree programs in Computer Science & Engineering and Business Administration.,UAP শুরুতে Computer Science & Engineering এবং Business Administration-এ চার বছরের ব্যাচেলর ডিগ্রি প্রোগ্রাম অফার করেছিল।,UAP shurute Computer Science & Engineering ebong Business Administration-e four-year bachelor degree program offer korechilo.,curricula_BSc-Curriculum-New.pdf,4,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q008,GENERAL,general,medium,How many B.Sc.Engg. graduates had received degrees according to the prospectus?,প্রসপেক্টাস অনুযায়ী কতজন B.Sc.Engg. গ্র্যাজুয়েট ডিগ্রি পেয়েছে?,Prospectus onujayi kotojon B.Sc.Engg. graduate degree peyechilo?,"According to the prospectus, B.Sc.Engg. degrees had been conferred on 2200 graduates.",প্রসপেক্টাস অনুযায়ী 2200 জন গ্র্যাজুয়েটকে B.Sc.Engg. ডিগ্রি দেওয়া হয়েছে।,Prospectus onujayi 2200 graduate-ke B.Sc.Engg. degree deya hoyeche.,curricula_BSc-Curriculum-New.pdf,4,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q009,GENERAL,general,medium,What accreditation did the CSE Department receive from IEB?,CSE Department IEB থেকে কী স্বীকৃতি পেয়েছে?,CSE Department IEB theke ki accreditation peyechhe?,The CSE Department received IEB accreditation for the BSc in CSE program starting from August 2014.,CSE Department August 2014 থেকে BSc in CSE প্রোগ্রামের জন্য IEB accreditation পেয়েছে।,CSE Department August 2014 theke BSc in CSE program-er jonno IEB accreditation peyechhe.,curricula_BSc-Curriculum-New.pdf,6,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q010,GENERAL,topics,medium,Under which act did UAP start its operation?,UAP কোন আইনের অধীনে কার্যক্রম শুরু করেছিল?,UAP kon act-er odhine operation start korechilo?,UAP started its operation under the Private University Act 1992.,UAP Private University Act 1992-এর অধীনে কার্যক্রম শুরু করেছিল।,UAP Private University Act 1992-er odhine operation start korechilo.,curricula_BSc-Curriculum-New.pdf,8,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q011,GENERAL,topics,medium,How many undergraduate and postgraduate disciplines does UAP offer according to the introduction?,ভূমিকায় UAP কয়টি আন্ডারগ্র্যাজুয়েট ও পোস্টগ্র্যাজুয়েট ডিসিপ্লিন অফার করে বলা হয়েছে?,Introduction-e UAP koyta undergraduate ar postgraduate discipline offer kore bola hoyeche?,The introduction says UAP offers undergraduate programs in nine disciplines and post-graduate programs in eight disciplines.,ভূমিকায় বলা হয়েছে UAP নয়টি ডিসিপ্লিনে আন্ডারগ্র্যাজুয়েট এবং আটটি ডিসিপ্লিনে পোস্টগ্র্যাজুয়েট প্রোগ্রাম অফার করে।,Introduction-e bola hoyeche UAP nine discipline-e undergraduate ar eight discipline-e post-graduate program offer kore.,curricula_BSc-Curriculum-New.pdf,8,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q012,GENERAL,general,medium,Who is named as the Vice-Chancellor in the prospectus?,প্রসপেক্টাসে Vice-Chancellor হিসেবে কার নাম দেওয়া আছে?,Prospectus-e Vice-Chancellor hisebe kar naam deya ache?,Prof. Dr. Jamilur Reza Choudhury is named as the Vice-Chancellor.,Prof. Dr. Jamilur Reza Choudhury-কে Vice-Chancellor হিসেবে উল্লেখ করা হয়েছে।,Prof. Dr. Jamilur Reza Choudhury-ke Vice-Chancellor hisebe mention kora hoyeche.,curricula_BSc-Curriculum-New.pdf,8,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q013,GENERAL,general,medium,Where is the UAP Administration located?,UAP Administration কোথায় অবস্থিত?,UAP Administration kothay located?,"UAP Administration is located at 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh.","UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-এ অবস্থিত।","UAP Administration 74/A, Green Road, Farmgate, Dhaka-1215, Bangladesh-e located.",curricula_BSc-Curriculum-New.pdf,11,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q014,GENERAL,general,medium,What is the admission office email address?,Admission Office-এর ইমেইল ঠিকানা কী?,Admission Office-er email address ki?,The admission office email addresses are admission@uap-bd.edu and registrar@uap-bd.edu.,Admission Office-এর ইমেইল ঠিকানা হলো admission@uap-bd.edu এবং registrar@uap-bd.edu।,Admission Office-er email address holo admission@uap-bd.edu ebong registrar@uap-bd.edu.,curricula_BSc-Curriculum-New.pdf,11,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q015,GENERAL,semester_plan,medium,How many regular semesters are there in an academic year?,একটি শিক্ষাবর্ষে কয়টি নিয়মিত সেমিস্টার থাকে?,Ek academic year-e koyta regular semester thake?,There are two regular semesters in an academic year: Fall and Spring.,একটি শিক্ষাবর্ষে দুটি নিয়মিত সেমিস্টার থাকে: Fall এবং Spring।,Ek academic year-e duita regular semester thake: Fall ar Spring.,curricula_BSc-Curriculum-New.pdf,17,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q016,GENERAL,semester_plan,medium,How long is a regular semester?,একটি নিয়মিত সেমিস্টারের মোট মেয়াদ কত?,Ekta regular semester-er total duration koto?,A regular semester totals 18 weeks.,একটি নিয়মিত সেমিস্টারের মোট মেয়াদ 18 সপ্তাহ।,Ekta regular semester total 18 weeks.,curricula_BSc-Curriculum-New.pdf,17,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q017,GENERAL,semester_plan,medium,How many weeks of classes are in a regular semester?,নিয়মিত সেমিস্টারে ক্লাস কত সপ্তাহ হয়?,Regular semester-e class koy shoptaho hoy?,A regular semester has 15 weeks of classes.,নিয়মিত সেমিস্টারে 15 সপ্তাহ ক্লাস হয়।,Regular semester-e 15 weeks class hoy.,curricula_BSc-Curriculum-New.pdf,17,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
Q018,GENERAL,course_credit,medium,How is one credit assigned for theoretical courses?,থিওরেটিক্যাল কোর্সে এক ক্রেডিট কীভাবে নির্ধারিত হয়?,Theoretical course-e one credit kivabe assigned hoy?,"For theoretical courses, one lecture per week per semester is equivalent to one credit.",থিওরেটিক্যাল কোর্সে প্রতি সেমিস্টারে প্রতি সপ্তাহে এক লেকচার এক ক্রেডিটের সমান।,Theoretical course-e per week per semester one lecture one credit-er equivalent.,curricula_BSc-Curriculum-New.pdf,17,verified,Imported from uap_cse_multilingual_rag_dataset.xlsx.
