question_id,language,question,reference,final_answer,final_status,answer_strategy,generation_used,generation_attempts,retry_used,support_status,pre_generation_support_status,evidence_available,target_language,canonical_answer,canonical_successful,canonical_validation_reason,target_language_realization,realization_successful,realization_validation_reason,language_validation_passed,language_validation_reason,runtime_language_validation_passed,grounding_validation_passed,grounding_validation_reason,generation_rejection_reason,fact_tokens_required,fact_tokens_preserved,fact_preservation_applicable,automatic_precision,automatic_recall,automatic_f1,source,page,supporting_excerpt,retrieval_seconds,answering_seconds,canonical_generation_seconds,language_realization_seconds,generation_seconds,retry_seconds,total_seconds,prompt_tokens,completion_tokens,rss_bytes,available_ram_bytes,swap_used_bytes,error,answer_bank_enabled,reranker_enabled
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",AMBIGUOUS,ambiguous,False,0,False,ambiguous,ambiguous,False,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"['18', '2017']",False,True,0.0,0.0,0.0,,,,4.190628099999685,0.0009764999999788415,0.0,0.0,0.0,0.0,4.193808099999842,0,0,2021036032,1980448768,798138368,,False,False
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,ANSWER_RETURNED,gguf_generation,True,1,False,supported,supported,True,english,The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,True,FACTUAL_TOKENS_SUPPORTED,,True,NOT_REQUIRED,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,1.0,1.0,1.0,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",0.1867709999996805,41.9012131999998,41.88011620000043,0.0,41.88011620000043,0.0,42.20527509999965,370,18,4500938752,435232768,1682792448,,False,False
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,"প্রাসঙ্গিক তথ্য বিশ্ববিদ্যালয়ের নথিতে পাওয়া গেছে, কিন্তু এই মুহূর্তে আমি সেটির একটি নির্ভরযোগ্য বাংলা উত্তর তৈরি করতে পারিনি।",GENERATION_REJECTED,generation_rejected,True,2,True,supported,supported,True,bangla,The publication was not specified in the given evidence.,False,WRONG_POLARITY,,False,,True,BANGLA_BODY_MEANINGFUL,True,False,GENERATION_REJECTED,WRONG_POLARITY,[],False,False,0.0,0.0,0.0,curricula_BSc-Curriculum-New.pdf,64,"4. E. Swokpwski, Calculus, Boston, USA: PWS Publisher.",3.609206699999959,23.044152899999972,23.041513399999985,0.0,23.041513399999985,5.168576600000051,26.682822100000067,1015,20,4801654784,319135744,1709690880,,False,False
Q002,banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,"Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.",GENERATION_REJECTED,generation_rejected,True,2,True,supported,supported,True,banglish,The faculty members and students of UAP are engaged to publish their research at IJCIT.,False,MISSING_REQUIRED_ENTITY,,False,,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,MISSING_REQUIRED_ENTITY,[],False,False,0.0625,0.09090909090909091,0.07407407407407407,curricula_BSc-Curriculum-New.pdf,28,…onals who can make positive contribution in the development of this country. Most of the faculty members and students of UAP are engaged to publish their researches at IJCIT.,2.77649270000029,24.54694950000021,24.541556500000297,0.0,24.541556500000297,9.076157500000136,27.352548299999853,741,38,5217996800,243523584,1683144704,,False,False
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,INSUFFICIENT_EVIDENCE,unsupported,False,0,False,insufficient,insufficient,False,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,"['2017', 'july2017']",False,True,0.0,0.0,0.0,,,,1.5874284999999873,0.0013405999998212792,0.0,0.0,0.0,0.0,1.5919618000002629,0,0,5704966144,29728768,1669496832,,False,False
Q004,bangla,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,CSE Head-এর যোগাযোগের ইমেইল হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,ANSWER_RETURNED,structured_exact,False,0,False,supported,supported,True,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,FACTUAL_TOKENS_SUPPORTED,,['headcse@uap-bd.edu'],True,True,0.4,0.2857142857142857,0.3333333333333333,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu,4.462678500000038,0.0007312000002457353,0.0,0.0,0.0,0.0,4.468519200000173,0,0,5678481408,503668736,2182410240,,False,False
Q005,english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",ANSWER_RETURNED,gguf_generation,True,1,False,supported,supported,True,english,"The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",True,FACTUAL_TOKENS_SUPPORTED,,True,NOT_REQUIRED,True,ENGLISH_BODY_VALID,True,True,FACTUAL_TOKENS_SUPPORTED,,[],False,False,0.7222222222222222,0.9285714285714286,0.8125000000000001,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",0.28806810000014593,26.342704499999854,26.33686979999993,0.0,26.33686979999993,0.0,26.64786200000026,641,26,5189836800,503283712,1806422016,,False,False
Q005,bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,"প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,INSUFFICIENT_EVIDENCE,unsupported,False,0,False,insufficient,insufficient,False,bangla,,False,,,False,,True,BANGLA_BODY_MEANINGFUL,True,True,GENERATION_NOT_USED,,[],False,False,0.09090909090909091,0.1111111111111111,0.09999999999999999,,,,1.6799684999996316,0.002440900000237889,0.0,0.0,0.0,0.0,1.6852273999998033,0,0,5712404480,20815872,1798832128,,False,False
Q005,banglish,Prospectus-er information niye disclaimer-e ki bola hoyeche?,"Prospectus-er information Department of CSE, UAP-er discretion-e change hote pare.","Relevant information university document-e paoa geche, kintu ei muhurte ami eta reliable Banglish-e present korte parini.",GENERATION_REJECTED,generation_rejected,True,3,True,supported,supported,True,banglish,"The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",True,FACTUAL_TOKENS_SUPPORTED,Prospectus-ta holo UAP-er Computer Science & Engineering Department discretion theke change koreche.,True,CANONICAL_MEANING_PRESERVED,True,BANGLISH_MARKERS_PRESENT,True,False,GENERATION_REJECTED,UNSUPPORTED_FACTUAL_TOKENS,[],False,False,0.0625,0.1,0.07692307692307693,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",0.2767518000000564,43.38447350000024,15.479580000000169,27.90071130000024,43.38029130000041,10.61127370000031,43.67772999999988,1013,76,5247365120,385970176,1830690816,,False,False
Q006,banglish,UAP kobe established hoy?,UAP 1996 shale established hoy.,University of Asia Pacific (UAP) 1996-e establish hoyechilo.,ANSWER_RETURNED,gguf_generation,True,1,False,supported,supported,True,banglish,The University of Asia Pacific (UAP) was established in 1996.,True,FACTUAL_TOKENS_SUPPORTED,University of Asia Pacific (UAP) 1996-e establish hoyechilo.,True,CANONICAL_MEANING_PRESERVED,True,BANGLISH_MARKERS_PRESENT,True,True,FACTUAL_TOKENS_SUPPORTED,,"['1996', 'uap1996']",False,True,0.125,0.2,0.15384615384615385,curricula_BSc-Curriculum-New.pdf,8,"1. Introduction University of Asia Pacific (UAP) was established in 1996 with a vision to enhance the opportunities for higher education in Bangladesh. The University, under the Private University Act 1992, started its operation in 1996 by offering four -year Bachelor Degree Programs in Computer Science & Technology and Business Administration only. Now UAP offers undergraduate programs in nine disciplines and post-g…",1.7411747999999534,26.857681400000274,26.851339700000153,0.0031756000003042573,26.854515300000458,0.0,28.61662690000003,685,18,5446758400,202854400,1750335488,,False,False
