case_id,SYSTEM_A_model,SYSTEM_B_model
S7B-001,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-002,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-003,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-004,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-005,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-006,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-007,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-008,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-009,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-010,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-011,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-012,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-013,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-014,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-015,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-016,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-017,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-018,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-019,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-020,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-021,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-022,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-023,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-024,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-025,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-026,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-027,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-028,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-029,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-030,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-031,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-032,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-033,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-034,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-035,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-036,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-037,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-038,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-039,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-040,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-041,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-042,Qwen2.5-1.5B-Instruct-Q4_K_M,Qwen2.5-3B-Instruct-Q4_K_M
S7B-043,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-044,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
S7B-045,Qwen2.5-3B-Instruct-Q4_K_M,Qwen2.5-1.5B-Instruct-Q4_K_M
