question_id,language,question,reference,before_step7d_answer,after_step7d_answer,strategy,source,page,supporting_evidence,language_validation_reason,grounding_validation_reason,semantic_rejection_reason,correctness,relevance,groundedness,completeness,naturalness,semantic_consistency,error_category,notes
Q001,bangla,আন্ডারগ্র্যাজুয়েট প্রসপেক্টাসটির শিরোনাম কী?,শিরোনামটি হলো UAP-এর Department of Computer Science & Engineering-এর Prospectus (Undergraduate Program) 2017-18।,"নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।","নির্ভরযোগ্যভাবে উত্তর দেওয়ার জন্য অনুগ্রহ করে কোন কোর্স, প্রোগ্রাম, নীতি বা বিষয় বোঝাচ্ছেন তা নির্দিষ্ট করুন।",ambiguous,,,,BANGLA_BODY_MEANINGFUL,GENERATION_NOT_USED,,,,,,,,,
Q002,english,Who published the prospectus?,"The prospectus was published by the Department of Computer Science & Engineering, University of Asia Pacific.",The prospectus was published by the Department of Computer Science & Engineering at the University of Asia Pacific.,The prospectus was published by the Department of Computer Science & Engineering University of Asia Pacific.,gguf_generation,curricula_BSc-Curriculum-New.pdf,2,"Published by Department of Computer Science & Engineering University of Asia Pacific 74/A, Green Road, Dhaka-1215 Edition 13th Edition, July 2017 Address of Correspondence",ENGLISH_BODY_VALID,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q002,bangla,প্রসপেক্টাসটি কে প্রকাশ করেছে?,প্রসপেক্টাসটি University of Asia Pacific-এর Department of Computer Science & Engineering প্রকাশ করেছে।,প্রসপেক্টাসটি প্রকাশক তথ্য দেওয়া হয়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,,,,,,,,
Q002,banglish,Prospectus-ta ke publish koreche?,Prospectus-ta University of Asia Pacific-er Department of Computer Science & Engineering publish koreche.,I couldn't find enough information in the provided university documents to answer this reliably.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,,,,,,,,
Q003,bangla,প্রসপেক্টাসে কোন সংস্করণ ও তারিখ দেওয়া আছে?,"প্রসপেক্টাসটি 13th Edition, July 2017।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_NOT_USED,,,,,,,,,
Q004,bangla,CSE Head-এর সঙ্গে যোগাযোগের জন্য কোন ইমেইল দেওয়া আছে?,CSE Head-এর যোগাযোগের ইমেইল হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,প্রাসঙ্গিক email address হলো headcse@uap-bd.edu।,structured_exact,curricula_BSc-Curriculum-New.pdf,2,Head Department of Computer Science & Engineering University of Asia Pacific Phone: +(880-2) 9127226 E-mail: headcse@uap-bd.edu,BANGLA_BODY_MEANINGFUL,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q005,english,What does the disclaimer say about the prospectus information?,"The information in the prospectus is subject to change at the discretion of the Department of CSE, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.","The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",gguf_generation,curricula_BSc-Curriculum-New.pdf,3,"Disclaimer The information contained in this prospectus is subject to change at the discretion of the Department of Computer Science & Engineering, UAP.",ENGLISH_BODY_VALID,FACTUAL_TOKENS_SUPPORTED,,,,,,,,,
Q005,bangla,প্রসপেক্টাসের তথ্য সম্পর্কে ডিসক্লেইমারে কী বলা হয়েছে?,"প্রসপেক্টাসের তথ্য Department of CSE, UAP-এর বিবেচনায় পরিবর্তনযোগ্য।",প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,প্রদত্ত বিশ্ববিদ্যালয়ের নথিতে নির্ভরযোগ্যভাবে উত্তর দেওয়ার মতো পর্যাপ্ত তথ্য পাওয়া যায়নি।,unsupported,,,,BANGLA_BODY_MEANINGFUL,GENERATION_NOT_USED,,,,,,,,,
Q005,banglish,Prospectus-er information niye disclaimer-e ki bola hoyeche?,"Prospectus-er information Department of CSE, UAP-er discretion-e change hote pare.",Provided university document-e reliable answer deyar moto enough information paoa jayni.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,SEMANTIC_CONTRACT_UNCERTAIN,,,,,,,,
Q006,banglish,UAP kobe established hoy?,UAP 1996 shale established hoy.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,Provided university document-e reliable answer deyar moto enough information paoa jayni.,unsupported,,,,BANGLISH_MARKERS_PRESENT,GENERATION_REJECTED,UNSUPPORTED_FACTUAL_TOKENS,,,,,,,,
